ID,DEPARTAMENTO,COD_DPTO,MUNICIPIO,COD_MCPIO,Cod_candidato,NOMBRE,Votos,PARTIDO,COD_PARTIDO,GENERO,EDAD,age (estimada),gender (estimado),blurness,facequality,yaw_angle,pitch_angle,roll_angle,BD,alto,ancho,fhwr,alto_rot,ancho_rot,fhwr_rot,alto_correg,ancho_correg,fhwr_correg,ranking,partidoFE,ideologia_cat,fhwr_cat,combo_id
171504,CHOCO,17,CARMEN DEL DARIEN,15,04,DAWINSON VALOYES MORENO,1205,PARTIDO CONSERVADOR COLOMBIANO  -  CR,3003,M,34,26,Male,"0,362","8,543","21,04031","-14,302129","-6,70998","11,29",63,127,"2,015873016",67,127,"1,895522388","66,77484394","126,0132459","1,88713651",2,0,,1,
194605,HUILA,19,IQUIRA,46,05,YADNOLVER CORREA TAMAYO,1896,IQUIRA AVANZA,5006,M,34,30,Male,"0,949","9,106","-19,029457","-21,166677","-2,727778","3,964",89,199,"2,235955056",96,199,"2,072916667","98,98462137","199,5359686","2,015827972",1,0,,1,
525901,META,52,SAN JUANITO,59,01,NESTOR DARIO DIAZ JIMENEZ,661,PARTIDO CONSERVADOR COLOMBIANO,2,M,39,31,Male,"0,349","9,139","21,791147","-4,717015","-3,2368906","16,133",84,154,"1,833333333",84,154,"1,833333333","85,72931134","153,1896673","1,786899544",1,Conservador,Derecha,1,10
10118701,ANTIOQUIA,101,MUTATA,187,01,MARIA ESILDA PALACIOS GIRALDO,3242,PARTIDO CENTRO DEMOCRATICO,11,F,56,50,Male,"0,634","9,281","19,131157","-20,840584","9,89","0,453",39,81,"2,076923077",45,81,"1,8","43,74490549","82,88791374","1,894801527",1,Centro Democrático,Derecha,1,28
294001,TOLIMA,29,CHAPARRAL,40,01,JUAN CARLOS MOSOS CAMPOS,387,PARTIDO CENTRO DEMOCRATICO,11,M,60,59,Male,"0,04","9,489","21,718027","-4,773311","-0,097205915","2,153",86,141,"1,639534884",88,141,"1,602272727","87,93370742","140,9981005","1,603459068",5,Centro Democrático,Derecha,0,9
4670001,CASANARE,46,PORE,700,01,JORGE EZEQUIEL GARZON,1974,PARTIDO LIBERAL COLOMBIANO,1,M,49,49,Male,"0,374","10,806","21,331398","-5,780798","-9,774016","4,183",84,155,"1,845238095",94,155,"1,64893617","88,89219236","154,6175617","1,739382927",2,Liberal,Derecha,1,10
274604,SANTANDER,27,CONCEPCION,46,04,JOSE ALBERTO CALDERON CASTAÑEDA,1329,CALDERON EL CORAZON DEL PUEBLO,360,M,41,43,Male,"0,318","11,523","21,45203","-0,48036036","-3,482298","63,307",72,128,"1,777777778",73,128,"1,753424658","74,32297741","127,217001","1,711677942",1,0,,1,
195503,HUILA,19,PALERMO,55,03,SILVIA ALEXANDRA CASTAÑEDA PERDOMO,5008,PARTIDO CONSERVADOR COLOMBIANO,2,F,47,54,Female,"0,026","11,846","-20,677954","-10,741936","3,7823274","68,173",72,146,"2,027777778",82,146,"1,780487805","78,98484914","145,0882968","1,836913008",2,Conservador,Derecha,1,28
2721103,SANTANDER,27,TONA,211,03,ELKIN PEREZ SUAREZ,2113,UNIDOS POR EL CAMBIO,4505,M,33,39,Male,"0,36","12,278","20,735415","-9,123758","-4,9441614","17,816",69,162,"2,347826087",74,162,"2,189189189","71,84591666","161,5695943","2,248834753",1,0,,1,
1518402,CUNDINAMARCA,15,NOCAIMA,184,02,LUZ AIDA BUSTOS ESPINOSA,297,"NOCAIMA, NUESTRO COMPROMISO",2545,F,37,43,Female,"0,356","12,965","20,723272","7,704684","-16,313807","85,2",100,177,"1,77",121,177,"1,462809917","113,3894385","179,4240922","1,582370409",3,0,,0,
310403,VALLE,31,ALCALA,04,03,LUZ ADRIANA MARIN MARIN,1885,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,8,F,42,36,Female,"0,042","12,98","20,90985","-5,5124907","-20,41615","19,8",92,188,"2,043478261",120,188,"1,566666667","108,5464189","190,4928209","1,754943395",2,De la U,Centro,1,22
1245003,CESAR,12,GAMARRA,450,03,DIOMAR  CLARO MARQUEZ,3138,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,8,M,48,52,Male,"0,361","13,048","21,011024","3,3738713","-10,679592","1,795",105,216,"2,057142857",117,216,"1,846153846","113,7443277","214,2971178","1,884024655",1,De la U,Centro,1,4
